metric_id,metric_name,registry_trust_level,gate_effective_level,answer_level,trust_level_exact,answer_degraded_to_not_determinable,execution_mode,headline_permitted,headline_withheld_ok,definition_count,family_complete_ok,caveat_verbatim_ok,confidence,confidence_ok,validation_status,citation_chain_complete,contract_complete,contract_violations,propagation_floor,declared_divergence,propagation_justification,verdict
M.AR.001D,Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),BLOCK,BLOCK,BLOCK,True,False,internal_only,False,True,4,True,True,BLOCKED,True,MATCH,True,True,,BLOCK,,"[DQ.002/C.001/C.005 (CRITICAL)] -> BLOCK: 4-way AR conflict. M.LIFE.004 stays SAFE (single-convention use, disclosed). | [DQ.019/C.003 (CRITICAL)] -> BLOCK: tenant_transactions frozen; BLOCK for catastrophic ~120x misuse risk.",PASS
M.AR.002,Tenant dues by tenant,SHOW_BOTH,BLOCK,BLOCK,True,False,internal_only,False,True,4,True,True,BLOCKED,True,DIFFERS,True,True,,DISCLOSE,"semantic_metric_registry.csv assigns M.AR.002 ('Tenant dues by tenant') SHOW_BOTH. Two other completed documents imply BLOCK: (1) metric_dependency_graph.md 7 -- 'EVERY composite KPI inherits the WORST trust level of its inputs' -- and M.AR.002's own dependency_metrics are M.AR.001A/B (SHOW_BOTH) and M.AR.001C/D (BLOCK); (2) ai_trust_policy.md 3 answers the question this metric IS -- 'How much does this tenant owe?' -> 'M.AR.001A-D (BLOCK ...). Never state one figure.' ai_evaluation_framework.md 3's scenario table agrees (BLOCK, all 4 AR definitions, ~120x spread named). The engine applies BLOCK, the stricter posture. This is surfaced for an owner decision, not silently resolved in either direction.","[DQ.002/C.001/C.005 (CRITICAL)] -> at least DISCLOSE: 4-way AR conflict. M.LIFE.004 stays SAFE (single-convention use, disclosed).",PASS
M.AR.003,Tenant dues by property,SHOW_BOTH,SHOW_BOTH,SHOW_BOTH,True,False,family,False,True,4,True,True,SPLIT,True,UNVERIFIED,True,True,,DISCLOSE,,"[DQ.002/C.001/C.005 (CRITICAL)] -> at least DISCLOSE: 4-way AR conflict. M.LIFE.004 stays SAFE (single-convention use, disclosed).",PASS
M.DEP.001,Deposit held,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.DEP.002,Deposit settlements,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,MATCH,True,True,,DISCLOSE,,[DQ.008/C.016 (HIGH)] -> DISCLOSE: Deposit settlement 2x pattern.,PASS
M.DEP.003,Deposit refunds,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,UNVERIFIED,True,True,,DISCLOSE,,[DQ.008/C.016 (HIGH)] -> DISCLOSE: Deposit settlement 2x pattern.,PASS
M.EXP.001,"Expenses (total, ledger-derived)",SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.EXP.002,Expenses by category,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,MATCH,True,True,,DISCLOSE,,[DQ.015/C.012/C.013 (HIGH)] -> DISCLOSE: P&L bucket gap. M.EXP.001 (the total) is proven unaffected.,PASS
M.OWN.001,Owner payments (source total),SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.OWN.002,"Owner rent (ledger bucket, 3 definitions)",SHOW_BOTH,SHOW_BOTH,SHOW_BOTH,True,False,family,False,True,3,True,True,SPLIT,True,MATCH,True,True,,SHOW_BOTH,,[DQ.016/C.010/C.011 (CRITICAL)] -> SHOW_BOTH: Owner-rent omission in get_universal_metrics v1.,PASS
M.PROFIT.001,Gross/net profit (3 definitions),BLOCK,BLOCK,BLOCK,True,False,internal_only,False,True,3,True,True,BLOCKED,True,PARTIAL,True,True,,BLOCK,,[DQ.016/C.010/C.011 (CRITICAL)] -> BLOCK: Owner-rent omission in get_universal_metrics v1. | [DQ.013/C.020 (HIGH)] -> BLOCK: Duplicate invoices with no dedup mechanism; transitively reaches M.PROFIT.001 Def B.,PASS
M.PNL.001,P&L by month,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,"HIGH (by construction, not independently re-validated)",True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.CASH.001,Cash balance,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,"HIGH (by construction, not independently re-validated)",True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.TB.001,Trial balance / accounting checks,SAFE,SAFE,SAFE,True,False,single,True,True,2,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.OCC.001,Current occupancy (5+ definitions),SHOW_BOTH,SHOW_BOTH,SHOW_BOTH,True,False,family,False,True,5,True,True,SPLIT,True,MATCH,True,True,,SHOW_BOTH,,"[DQ.004/DQ.005/C.006/C.007/C.008/C.009 (HIGH)] -> SHOW_BOTH: Occupancy family. Raw status counts keep SAFE -- they use the unambiguous enum count, not an occupancy-% formula.",PASS
M.OCC.002,Occupancy by property,SHOW_BOTH,SHOW_BOTH,SHOW_BOTH,True,False,family,False,True,5,True,True,SPLIT,True,UNVERIFIED,True,True,,SHOW_BOTH,,"[DQ.004/DQ.005/C.006/C.007/C.008/C.009 (HIGH)] -> SHOW_BOTH: Occupancy family. Raw status counts keep SAFE -- they use the unambiguous enum count, not an occupancy-% formula.",PASS
M.OCC.003,Occupancy by apartment,NOT_DETERMINABLE,NOT_DETERMINABLE,NOT_DETERMINABLE,True,False,refuse,False,True,0,True,True,UNVERIFIED,True,N/A,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.OCC.004,Occupancy by bed,NOT_DETERMINABLE,NOT_DETERMINABLE,NOT_DETERMINABLE,True,False,refuse,False,True,0,True,True,UNVERIFIED,True,N/A,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.TEN.001,Staying tenants,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.TEN.002,On-Notice tenants,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.TEN.003,Booked beds,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.OCC.005,Historical occupancy,SHOW_BOTH,SHOW_BOTH,NOT_DETERMINABLE,True,True,family,False,True,0,True,True,UNVERIFIED,True,N/A,True,True,,SHOW_BOTH,,"[DQ.004/DQ.005/C.006/C.007/C.008/C.009 (HIGH)] -> SHOW_BOTH: Occupancy family. Raw status counts keep SAFE -- they use the unambiguous enum count, not an occupancy-% formula.",PASS
M.LIFE.001,Tenant lifecycle (staying_status sync),SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,"HIGH (by construction, not independently re-validated)",True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.LIFE.002,Move-ins,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,"HIGH (by construction, not independently re-validated)",True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.LIFE.003,Move-outs,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,"HIGH (by construction, not independently re-validated)",True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.LIFE.004,Exit reconciliation,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,"HIGH (by construction, not independently re-validated)",True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.MAINT.001,Maintenance volume,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.MAINT.002,Maintenance cost (2 paths),SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,HIGH,True,MATCH,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.EB.001,EB/electricity usage and cost,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,MATCH,True,True,,DISCLOSE,,[DQ.028 (HIGH)] -> DISCLOSE: EB billing_month format.,PASS
M.EB.002,EB tenant allocation,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,MATCH,True,True,,DISCLOSE,,[DQ.028 (HIGH)] -> DISCLOSE: EB billing_month format.,PASS
M.RISK.001,Outstanding dues,BLOCK,BLOCK,BLOCK,True,False,internal_only,False,True,4,True,True,BLOCKED,True,DIFFERS,True,True,,DISCLOSE,,"[DQ.002/C.001/C.005 (CRITICAL)] -> at least DISCLOSE: 4-way AR conflict. M.LIFE.004 stays SAFE (single-convention use, disclosed).",PASS
M.RISK.002,Aging,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,UNVERIFIED,True,True,,DISCLOSE,,"[DQ.018/C.019 (MEDIUM)] -> DISCLOSE: Aging snapshot dependence -- a reproducibility hazard, not a value conflict.",PASS
M.RISK.003,Deposit risk,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,2,True,True,MEDIUM,True,UNVERIFIED,True,True,,DISCLOSE,,[DQ.011/DQ.012 (HIGH/MEDIUM)] -> DISCLOSE: Deposit risk. M.DEP.001 NOT downgraded -- the balance total is exact.,PASS
M.RISK.004,Phantom deposits,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,PARTIAL,True,True,,DISCLOSE,,[DQ.011/DQ.012 (HIGH/MEDIUM)] -> DISCLOSE: Deposit risk. M.DEP.001 NOT downgraded -- the balance total is exact.,PASS
M.RISK.005,Duplicate invoices,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,MATCH,True,True,,DISCLOSE,,[DQ.013/C.020 (HIGH)] -> DISCLOSE: Duplicate invoices with no dedup mechanism; transitively reaches M.PROFIT.001 Def B.,PASS
M.RISK.006,Duplicate receipts,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.RISK.007,Overlapping allotments,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,DIFFERS,True,True,,DISCLOSE,,"[DQ.003 (MEDIUM)] -> DISCLOSE: Overlapping allotments. No downgrade to the EXISTS-based occupancy snapshot metrics -- proven immaterial (H.013 shows 0 Staying/On-Notice overlap). NOTE: 'preserved' here means 'DQ.003 contributes no downgrade'; the occupancy metrics are independently SHOW_BOTH via DQ.004/DQ.005, which is a different edge.",PASS
M.RISK.008,Ledger/source reconciliation,DISCLOSE,DISCLOSE,DISCLOSE,True,False,single,True,True,1,True,True,MEDIUM,True,UNVERIFIED,True,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
M.RISK.009,Data-quality score / trust status,SAFE,SAFE,SAFE,True,False,single,True,True,1,True,True,"HIGH (by construction, not independently re-validated)",True,UNVERIFIED,False,True,,none,,No metric_dependency_graph.md 6 propagation row downgrades this metric; its trust level is intrinsic to its own definition.,PASS
