surface,object_id,action,label,question,metric_id
insight,INS.CONFLICT.M.OCC.001,why,Why?,Why does INS.CONFLICT.M.OCC.001 matter?,
insight,INS.CONFLICT.M.OCC.001,recommend,What should I do?,What should I do?,
insight,INS.DQ.DQ.005,why,Why?,Why does INS.DQ.DQ.005 matter?,
insight,INS.DQ.DQ.005,recommend,What should I do?,What should I do?,
insight,INS.DQ.DQ.030,why,Why?,Why does INS.DQ.DQ.030 matter?,
insight,INS.DQ.DQ.030,recommend,What should I do?,What should I do?,
insight,INS.DQ.DQ.028,why,Why?,Why does INS.DQ.DQ.028 matter?,
insight,INS.DQ.DQ.028,recommend,What should I do?,What should I do?,
insight,INS.RISK.M.RISK.006,why,Why?,Why does INS.RISK.M.RISK.006 matter?,
insight,INS.RISK.M.RISK.006,recommend,What should I do?,What should I do?,
insight,INS.RISK.M.RISK.007,why,Why?,Why does INS.RISK.M.RISK.007 matter?,
insight,INS.RISK.M.RISK.007,recommend,What should I do?,What should I do?,
insight,INS.CHANGE.M.REV.002,why,Why?,Why did Revenue by month change?,
insight,INS.CHANGE.M.COL.002,why,Why?,Why did Collections by month change?,
change,M.REV.002,why,Why?,Why did Revenue by month change?,M.REV.002
change,M.PNL.001,why,Why?,Why did P&L by month change?,M.PNL.001
change,M.COL.002,why,Why?,Why did Collections by month change?,M.COL.002
