question,domain,expectation,intents,plan_type,status,metric_ids,trust_level,headline_permitted,execution_calls,definitions_planned,clarification_kind,schema_valid,validation_problems,trust_delegated_ok,ambiguity_preserved_ok,verdict,reason
Why did profit fall?,profit,multi,driver,explain_the_conflict,BLOCKED,M.PROFIT.001,BLOCK,False,1,M.PROFIT.001,,True,,True,True,PASS,
How much did we pay owners?,owner payments,answerable,lookup,single_value_lookup,READY,M.OWN.001,SAFE,True,1,M.OWN.001,,True,,True,True,PASS,
How much owner rent did we pay?,owner payments,multi,lookup,explain_the_conflict,READY,M.OWN.002,SHOW_BOTH,False,1,M.OWN.002,,True,,True,True,PASS,
How many maintenance tickets were raised?,maintenance,answerable,lookup,single_value_lookup,READY,M.MAINT.001,SAFE,True,1,M.MAINT.001,,True,,True,True,PASS,
What was our maintenance cost?,maintenance,answerable,lookup,single_value_lookup,READY,M.MAINT.002,SAFE,True,1,M.MAINT.002,,True,,True,True,PASS,
Show me maintenance year on year,maintenance,refuse,comparison,no_plan,NOT_DETERMINABLE,M.MAINT.001,,False,0,,,True,,True,True,PASS,
What was our electricity cost?,EB,answerable,lookup,single_value_lookup,READY,M.EB.001,DISCLOSE,True,1,M.EB.001,,True,,True,True,PASS,
Electricity trend by month,EB,refuse,trend,no_plan,NOT_DETERMINABLE,M.EB.001,,False,0,,,True,,True,True,PASS,
How many tenants are staying?,tenant lifecycle,answerable,lookup,single_value_lookup,READY,M.TEN.001,SAFE,True,1,M.TEN.001,,True,,True,True,PASS,
How many move-outs were there?,tenant lifecycle,answerable,lookup,single_value_lookup,READY,M.LIFE.003,SAFE,True,1,M.LIFE.003,,True,,True,True,PASS,
How many move-ins last month?,tenant lifecycle,answerable,lookup,single_value_lookup,READY,M.LIFE.002,SAFE,True,1,M.LIFE.002,,True,,True,True,PASS,
How many tenants are on notice?,tenant lifecycle,answerable,lookup,single_value_lookup,READY,M.TEN.002,SAFE,True,1,M.TEN.002,,True,,True,True,PASS,
Does the trial balance balance?,accounting,answerable,lookup,single_value_lookup,READY,M.TB.001,SAFE,True,1,M.TB.001,,True,,True,True,PASS,
How much cash do we have?,accounting,answerable,lookup,single_value_lookup,READY,M.CASH.001,SAFE,True,1,M.CASH.001,,True,,True,True,PASS,
Does the ledger reconcile to source?,accounting,answerable,lookup,single_value_lookup,READY,M.RISK.008,DISCLOSE,True,1,M.RISK.008,,True,,True,True,PASS,
Show me the monthly P&L,accounting,answerable,trend,trend_series,READY,M.PNL.001,SAFE,True,1,M.PNL.001,,True,,True,True,PASS,
Are there duplicate invoices?,data quality,answerable,lookup,single_value_lookup,READY,M.RISK.005,DISCLOSE,True,1,M.RISK.005,,True,,True,True,PASS,
Are there duplicate receipts?,data quality,answerable,lookup,single_value_lookup,READY,M.RISK.006,DISCLOSE,True,1,M.RISK.006,,True,,True,True,PASS,
Are there overlapping allotments?,data quality,answerable,lookup,single_value_lookup,READY,M.RISK.007,DISCLOSE,True,1,M.RISK.007,,True,,True,True,PASS,
How reliable is our data?,data quality,answerable,meta,explain_the_conflict,READY,M.RISK.009,SAFE,True,1,M.RISK.009,,True,,True,True,PASS,
What are our biggest business risks?,risk,composite,risk_scan,risk_composite_scan,READY,"M.RISK.002,M.RISK.003,M.RISK.004,M.RISK.005,M.RISK.006,M.RISK.007,M.RISK.008",DISCLOSE,True,7,"M.RISK.002,M.RISK.003,M.RISK.004,M.RISK.005,M.RISK.006,M.RISK.007,M.RISK.008",,True,,True,True,PASS,
Who are our risky tenants?,risk,composite,risk_scan,risk_composite_scan,READY,"M.RISK.002,M.RISK.003,M.RISK.004,M.RISK.005,M.RISK.006,M.RISK.007,M.RISK.008",DISCLOSE,True,7,"M.RISK.002,M.RISK.003,M.RISK.004,M.RISK.005,M.RISK.006,M.RISK.007,M.RISK.008",,True,,True,True,PASS,
Where are we losing money?,risk,composite,risk_scan,risk_composite_scan,READY,"M.RISK.002,M.RISK.003,M.RISK.004,M.RISK.005,M.RISK.006,M.RISK.007,M.RISK.008",DISCLOSE,True,7,"M.RISK.002,M.RISK.003,M.RISK.004,M.RISK.005,M.RISK.006,M.RISK.007,M.RISK.008",,True,,True,True,PASS,
Which tenants are overdue?,risk,answerable,lookup,single_value_lookup,READY,M.RISK.002,DISCLOSE,True,1,M.RISK.002,,True,,True,True,PASS,
Which property is best?,grain protection,refuse,comparison,no_plan,NOT_DETERMINABLE,,,False,0,,,True,,True,True,PASS,
What is our margin analysis?,absent concept,refuse,lookup,no_plan,NOT_DETERMINABLE,,,False,0,,,True,,True,True,PASS,
What is our collection efficiency?,absent concept,refuse,lookup,no_plan,NOT_DETERMINABLE,,,False,0,,,True,,True,True,PASS,
What should management do next?,recommendation,refuse,recommendation,no_plan,NOT_DETERMINABLE,,,False,0,,,True,,True,True,PASS,
Did anything look off this month?,anomaly,clarify,anomaly,no_plan,NEEDS_CLARIFICATION,,,False,0,,referential,True,,True,True,PASS,
