metric_id,metric_name,definition_label,check_id,reconstructed_value,reference_value,absolute_difference,percentage_difference,validation_status,pass_fail,reference_source,explanation_reference_id,trust_level,notes
M.AR.001A,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),AR.01,83297.85,83297.85,0.00,0.00,MATCH,PASS,F.006 v_outstanding_receivables,AR.01,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.AR.001B,Tenant dues -- Def B: v_tenant_current_dues (reversals included),Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),AR.02,83297.85,83297.85,0.00,0.00,MATCH,PASS,F.007 v_tenant_current_dues,AR.02,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.AR.001B,Tenant dues -- Def B: v_tenant_current_dues (reversals included),Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),AR.03,83297.85,83297.85,0.00,0.00,MATCH,PASS,Internal identity (C.002 proof),AR.03,SHOW_BOTH,Proves reversal-excluded and reversal-included conventions yield an IDENTICAL AR total -- reversals net to zero exactly.
M.AR.001C,Tenant dues -- Def C: application tenant_allotments.balance_due,Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),,83297.85,,,,UNVERIFIED,UNVERIFIED,,,BLOCK,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.AR.001D,Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),AR.04a,9968023.32,9968023.32,0.00,0.00,MATCH,PASS,conflicts.md C.003/C.005 (H.052 export),AR.04a,BLOCK,"EXACT match -- proves H.052's 'def2_tenant_transactions' column is the unclipped per-allotment SUM(DEBIT)-SUM(CREDIT) over CHARGE/PAYMENT rows only, with negative per-allotment balances allowed to net against positive ones in the total."
M.AR.001D,Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),Tenant dues -- Def A: v_outstanding_receivables (reversals excluded),AR.04b,10517031.27,,549007.95,,NOT_DETERMINABLE,UNVERIFIED,"No exported aggregate uses this exact floored-total form to compare against (H.044 exports per-allotment drift rows, not a pre-summed total).",AR.04b,BLOCK,"Two legitimate sub-variants of 'Def2 = tenant_transactions balance' exist and are BOTH recorded rather than collapsed: unclipped (AR.04a, Rs.9,968,023.32, matches H.052 exactly) vs GREATEST(...,0)-floored per allotment (this row, Rs.10,517,031.27), which matches the explicit floor formula documented in v_diag_allotment_balance_drift (business_logic.md 4.5). The Rs.549,007.95 gap between them is exactly the sum of allotments with a negative net CHARGE/PAYMENT balance that the floored variant clips to zero. Neither is proven more 'correct' than the other from the exported evidence -- both are preserved."
M.AR.002,Tenant dues by tenant,Def A: v_outstanding_receivables (reversals excluded),AR.04c,751.00,873.00,122.00,,DIFFERS,FAIL,"conflicts.md C.005 (H.052 export, Def1 vs Def2-UNCLIPPED comparison)",AR.04c,BLOCK,"This script compares Def1 against Def2-FLOORED (n=751); conflicts.md's 873 figure compared Def1 against Def2-UNCLIPPED (H.052's own basis, confirmed exact in AR.04a). The two disagreement counts differ because flooring changes which allotments read as zero. Both counts are real and neither supersedes the other -- they answer 'how does Def1 disagree with Def2' under two different Def2 sub-rules."
M.AR.003,Tenant dues by property,Def A: v_outstanding_receivables (reversals excluded),,83297.85,,,,UNVERIFIED,UNVERIFIED,,,SHOW_BOTH,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.DEP.001,Deposit held,Deposit held,DEP.01,4221150.00,4221150.00,0.00,0.00,MATCH,PASS,F.010 v_advance_balances,DEP.01,SAFE,Reconstruction matches the exported business view within tolerance.
M.DEP.001,Deposit held,Deposit held,DEP.02,0.00,0,0.00,0.00,MATCH,PASS,F.010 v_advance_balances,DEP.02,SAFE,Reconstruction matches the exported business view within tolerance.
M.DEP.002,Deposit settlements,Deposit settlements,DEP.03,5085959.33,5085959.33,0.00,0.00,MATCH,PASS,H.001 v_je_amount_reconciliation,DEP.03,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.DEP.002,Deposit settlements,Deposit settlements,DEP.04,5669454.67,5669454.67,0.00,0.00,MATCH,PASS,H.001 v_je_amount_reconciliation,DEP.04,DISCLOSE,"Reproduces H.001's INVESTIGATE-flagged Rs.583,495.34 gap exactly -- see DQ.008/C.016 for the suspected 2x-double-count mechanism."
M.DEP.002,Deposit settlements,Deposit settlements,DEP.05,38.00,37.00,1.00,,MATCH,PASS,"H.050 (37 of 43 drifting rows have entry_count=3, per conflicts.md C.016)",DEP.05,DISCLOSE,Confirms the entry_count=3 cluster size that underlies DQ.008's suspected 2x-double-count diagnostic-query mechanism.
M.DEP.003,Deposit refunds,Deposit refunds,,5085959.33,,,,UNVERIFIED,UNVERIFIED,,,DISCLOSE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.EXP.001,"Expenses (total, ledger-derived)","Expenses (total, ledger-derived)",EXP.01,20784831.96,20784831.96,0.00,0.00,MATCH,PASS,F.001 v_pnl (sum of monthly expenses),EXP.01,SAFE,Reconstruction matches the exported business view within tolerance.
M.EXP.001,"Expenses (total, ledger-derived)","Expenses (total, ledger-derived)",EXP.05,20784831.96,20784832,0.04,0.00,MATCH,PASS,H.017 pnl_bucket_gap,EXP.05,SAFE,Reconstruction matches the exported business view within tolerance.
M.EXP.002,Expenses by category,Expenses by category,EXP.02,19754213.96,19754213.96,0.00,0.00,MATCH,PASS,F.002 v_pnl_by_category,EXP.02,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.EXP.002,Expenses by category,Expenses by category,EXP.03,1030618.00,1030618.00,0.00,0.00,MATCH,PASS,F.002 v_pnl_by_category,EXP.03,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.EXP.002,Expenses by category,Expenses by category,EXP.04,1030618.00,1030618.00,0.00,0.00,MATCH,PASS,"Internal identity, cross-checked against H.017",EXP.04,DISCLOSE,Confirms DQ.015/C.012: unbucketed expenses equal the electricity column exactly -- account 5150 is invisible to all 9 named buckets.
M.EXP.002,Expenses by category,Expenses by category,EXP.06,1030618.00,1030618,0.00,0.00,MATCH,PASS,H.017 pnl_bucket_gap,EXP.06,DISCLOSE,Reconstruction matches the exported business view within tolerance.
M.OWN.001,Owner payments (source total),Owner payments (source total),OWNPAY.01,19019250,19019250.00,0.00,0.00,MATCH,PASS,H.001 v_je_amount_reconciliation,OWNPAY.01,SAFE,Reconstruction matches the exported business view within tolerance.
M.OWN.001,Owner payments (source total),Owner payments (source total),OWNPAY.02,19019250.00,19019250.00,0.00,0.00,MATCH,PASS,H.001 v_je_amount_reconciliation,OWNPAY.02,SAFE,"PROVEN PERFECT match (0.00 diff) -- the full source amount posts to the ledger with no drift, unlike receipts/invoices/deposit_settlements (DQ.006/007/008)."
M.OWN.001,Owner payments (source total),Owner payments (source total),OWNPAY.03,1.00,1.00,0.00,,MATCH,PASS,M.025 temporal_profile / business_logic.md 9.2,OWNPAY.03,SAFE,"All 345 owner_payments rows share created_at on a single day (2026-08-13), confirming DQ.020's single-batch-posting finding."
M.OWN.002,"Owner rent (ledger bucket, 3 definitions)",Def i (get_universal_metrics v1: EXCLUDED entirely),PROFIT.03,19019250,19019250,0.00,0.00,MATCH,PASS,F.028 v_diag_owner_rent_missing_from_profit,PROFIT.03,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.OWN.002,"Owner rent (ledger bucket, 3 definitions)",Def i (get_universal_metrics v1: EXCLUDED entirely),PROFIT.04,19019250.00,19019250,0.00,0.00,MATCH,PASS,H.030 (sum of pnl_owner_rent),PROFIT.04,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.PROFIT.001,Gross/net profit (3 definitions),"Def A (ledger, v_pnl)",PROFIT.01,51920761.47,51920761.47,0.00,0.00,MATCH,PASS,F.001 v_pnl,PROFIT.01,BLOCK,Reconstruction matches the exported business view within tolerance.
M.PROFIT.001,Gross/net profit (3 definitions),"Def A (ledger, v_pnl)",PROFIT.02,71689383.40,,,,NOT_DETERMINABLE,UNVERIFIED,"No exported output for get_universal_metrics v1 exists to validate against (it is a callable function, not a materialised view).",PROFIT.02,BLOCK,"Reconstructed from source tables per FN.get_universal_metrics's SQL (invoices.total_amount - expenses.amount, all-time, no period filter here). This figure OMITS owner rent entirely, per conflicts.md C.010/C.011 -- see PROFIT.03 for the owner-rent gap size."
M.PROFIT.001,Gross/net profit (3 definitions),"Def A (ledger, v_pnl)",PROFIT.05,71689383.40,70940012,749371.40,1.06,MATCH,PASS,H.030 (sum of profit_if_owner_rent_excluded),PROFIT.05,BLOCK,Reconstruction matches the exported business view within tolerance.
M.PROFIT.001,Gross/net profit (3 definitions),"Def A (ledger, v_pnl)",PROFIT.06,36.63,36.6 (conflicts.md C.011),0.03,,MATCH,PASS,conflicts.md C.011 (independently re-derived from H.030 in this pass),PROFIT.06,BLOCK,"Reproduces the 36.6% profit-overstatement figure documented in C.011/DQ.016 directly from H.030's raw columns, confirming get_universal_metrics v1's totalProfit formula equals H.030's profit_if_owner_rent_excluded exactly."
M.PNL.001,P&L by month,P&L by month,,"{'2019-11-01': {'revenue': 1000.0, 'expenses': 0.0, 'net_profit': 1000.0}, '2021-12-01': {'revenue': -26000.0, 'expenses': 0.0, 'net_profit': -26000.0}, '2022-02-01': {'revenue': 0.0, 'expenses': 0.0, 'net_profit': 0.0}, '2022-04-01': {'revenue': 1000.0, 'expenses': 0.0, 'net_profit': 1000.0}, '2022-08-01': {'revenue': 0.0, 'expenses': 0.0, 'net_profit': 0.0}, '2022-09-01': {'revenue': -13000.0, 'expenses': 0.0, 'net_profit': -13000.0}, '2022-10-01': {'revenue': 0.0, 'expenses': 0.0, 'net_profit': 0.0}, '2022-11-01': {'revenue': -34500.0, 'expenses': 61000.0, 'net_profit': -95500.0}, '2022-12-01': {'revenue': -23300.0, 'expenses': 129000.0, 'net_profit': -152300.0}, '2023-01-01': {'revenue': 0.0, 'expenses': 129000.0, 'net_profit': -129000.0}, '2023-02-01': {'revenue': 2100.0, 'expenses': 129000.0, 'net_profit': -126900.0}, '2023-03-01': {'revenue': 260581.75, 'expenses': 153850.0, 'net_profit': 106731.75}, '2023-04-01': {'revenue': 384340.0, 'expenses': 140500.0, 'net_profit': 243840.0}, '2023-05-01': {'revenue': 422716.0, 'expenses': 244000.0, 'net_profit': 178716.0}, '2023-06-01': {'revenue': 429191.0, 'expenses': 240500.0, 'net_profit': 188691.0}, '2023-07-01': {'revenue': 411010.0, 'expenses': 238700.0, 'net_profit': 172310.0}, '2023-08-01': {'revenue': 0.0, 'expenses': 0.0, 'net_profit': 0.0}, '2023-09-01': {'revenue': 430289.0, 'expenses': 235000.0, 'net_profit': 195289.0}, '2023-10-01': {'revenue': 493964.0, 'expenses': 233570.0, 'net_profit': 260394.0}, '2023-11-01': {'revenue': 518603.0, 'expenses': 303000.0, 'net_profit': 215603.0}, '2023-12-01': {'revenue': 536555.0, 'expenses': 303000.0, 'net_profit': 233555.0}, '2024-01-01': {'revenue': 564573.0, 'expenses': 305031.0, 'net_profit': 259542.0}, '2024-02-01': {'revenue': 709259.0, 'expenses': 303494.0, 'net_profit': 405765.0}, '2024-03-01': {'revenue': 815577.0, 'expenses': 324000.0, 'net_profit': 491577.0}, '2024-04-01': {'revenue': 984882.0, 'expenses': 315000.0, 'net_profit': 669882.0}, '2024-05-01': {'revenue': 1058515.0, 'expenses': 303000.0, 'net_profit': 755515.0}, '2024-06-01': {'revenue': 1115718.0, 'expenses': 303000.0, 'net_profit': 812718.0}, '2024-07-01': {'revenue': 1124765.0, 'expenses': 303000.0, 'net_profit': 821765.0}, '2024-08-01': {'revenue': 1296783.0, 'expenses': 331376.0, 'net_profit': 965407.0}, '2024-09-01': {'revenue': 1398120.0, 'expenses': 343320.0, 'net_profit': 1054800.0}, '2024-10-01': {'revenue': 1436431.0, 'expenses': 449570.0, 'net_profit': 986861.0}, '2024-11-01': {'revenue': 1486118.29, 'expenses': 481850.0, 'net_profit': 1004268.29}, '2024-12-01': {'revenue': 1535357.77, 'expenses': 478230.0, 'net_profit': 1057127.77}, '2025-01-01': {'revenue': 1723232.0, 'expenses': 480150.0, 'net_profit': 1243082.0}, '2025-02-01': {'revenue': 2056307.0, 'expenses': 488270.0, 'net_profit': 1568037.0}, '2025-03-01': {'revenue': 2242184.0, 'expenses': 488256.0, 'net_profit': 1753928.0}, '2025-04-01': {'revenue': 2423712.62, 'expenses': 513445.43, 'net_profit': 1910267.19}, '2025-05-01': {'revenue': 2649987.71, 'expenses': 553178.0, 'net_profit': 2096809.71}, '2025-06-01': {'revenue': 2840892.75, 'expenses': 493330.0, 'net_profit': 2347562.75}, '2025-07-01': {'revenue': 2752402.45, 'expenses': 515418.0, 'net_profit': 2236984.45}, '2025-08-01': {'revenue': 2963646.85, 'expenses': 528158.0, 'net_profit': 2435488.85}, '2025-09-01': {'revenue': 3092396.22, 'expenses': 739630.0, 'net_profit': 2352766.22}, '2025-10-01': {'revenue': 2897959.0, 'expenses': 737550.0, 'net_profit': 2160409.0}, '2025-11-01': {'revenue': 2760389.0, 'expenses': 713225.0, 'net_profit': 2047164.0}, '2025-12-01': {'revenue': 2570516.57, 'expenses': 704476.0, 'net_profit': 1866040.57}, '2026-01-01': {'revenue': 2539549.42, 'expenses': 701606.0, 'net_profit': 1837943.42}, '2026-02-01': {'revenue': 2720625.0, 'expenses': 734972.46, 'net_profit': 1985652.54}, '2026-03-01': {'revenue': 0.0, 'expenses': 0.0, 'net_profit': 0.0}, '2026-04-01': {'revenue': 2890610.0, 'expenses': 720344.55, 'net_profit': 2170265.45}, '2026-05-01': {'revenue': 3153828.0, 'expenses': 1189589.0, 'net_profit': 1964239.0}, '2026-06-01': {'revenue': 3300730.0, 'expenses': 696438.0, 'net_profit': 2604292.0}, '2026-07-01': {'revenue': 3336114.03, 'expenses': 1258659.52, 'net_profit': 2077454.51}, '2026-08-01': {'revenue': 3244678.0, 'expenses': 703804.0, 'net_profit': 2540874.0}, '2026-09-01': {'revenue': 4500.0, 'expenses': 0.0, 'net_profit': 4500.0}}",,,,UNVERIFIED,UNVERIFIED,,,SAFE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.CASH.001,Cash balance,Cash balance,,68690988.62,,,,UNVERIFIED,UNVERIFIED,,,SAFE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.TB.001,Trial balance / accounting checks,"Reversal-excluded (v_trial_balance, F.012)",LEDGER.01,32040.00,32040.00,0.00,0.00,MATCH,PASS,F.021 v_account_balances,LEDGER.01,SAFE,Reconstructed reversal-excluded line count matches the exported v_account_balances row count exactly.
M.TB.001,Trial balance / accounting checks,"Reversal-excluded (v_trial_balance, F.012)",LEDGER.02,199518809.08,199518809.08,0.00,0.00,MATCH,PASS,F.021 v_account_balances,LEDGER.02,SAFE,Reconstruction matches the exported business view within tolerance.
M.TB.001,Trial balance / accounting checks,"Reversal-excluded (v_trial_balance, F.012)",LEDGER.03,199518809.08,199518809.08,0.00,0.00,MATCH,PASS,F.021 v_account_balances,LEDGER.03,SAFE,Reconstruction matches the exported business view within tolerance.
M.TB.001,Trial balance / accounting checks,"Reversal-excluded (v_trial_balance, F.012)",LEDGER.04,24.00,24.00,0.00,0.00,MATCH,PASS,F.012 v_trial_balance,LEDGER.04,SAFE,Reconstruction matches the exported business view within tolerance.
M.TB.001,Trial balance / accounting checks,"Reversal-excluded (v_trial_balance, F.012)",LEDGER.05,14236.00,14236.00,0.00,0.00,MATCH,PASS,H.005 je_reversal_summary,LEDGER.05,SAFE,Reconstruction matches the exported business view within tolerance.
M.TB.001,Trial balance / accounting checks,"Reversal-excluded (v_trial_balance, F.012)",LEDGER.06,347.00,347.00,0.00,0.00,MATCH,PASS,H.005 je_reversal_summary,LEDGER.06,SAFE,Reconstruction matches the exported business view within tolerance.
M.TB.001,Trial balance / accounting checks,"Reversal-excluded (v_trial_balance, F.012)",LEDGER.07,217212447.24,217212447.24,0.00,0.00,MATCH,PASS,F.013 v_trial_balance_detailed,LEDGER.07,SAFE,Reconstruction matches the exported business view within tolerance.
M.TB.001,Trial balance / accounting checks,"Reversal-excluded (v_trial_balance, F.012)",LEDGER.08,10.00,10.00,0.00,0.00,MATCH,PASS,H.007 trial_balance_reversal_effect,LEDGER.08,SAFE,Independently reproduces H.007's 10-account reversal-effect finding from raw journal_lines.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.01,195.00,195.00,0.00,0.00,MATCH,PASS,F.005 v_occupancy,OCC.01,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.02,168.00,168.00,0.00,0.00,MATCH,PASS,F.005 v_occupancy,OCC.02,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.03,0.00,0.00,0.00,0.00,MATCH,PASS,F.005 v_occupancy,OCC.03,SHOW_BOTH,"Reproduces the PROVEN v_occupancy defect exactly: the on_notice column requires Staying AND On-Notice simultaneously, which H.013 proves never happens (0 beds), so this is always 0."
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.04,16.00,16.00,0.00,0.00,MATCH,PASS,F.005 v_occupancy,OCC.04,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.05,7.00,7.00,0.00,0.00,MATCH,PASS,H.011 unbucketed_on_notice_beds,OCC.05,SHOW_BOTH,Confirms exactly 7 On-Notice-only beds vanish from v_occupancy's occupied/on_notice/booked/vacant bucket set.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.06,175.00,175.00,0.00,0.00,MATCH,PASS,H.012b,OCC.06,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.07,175.00,175.00,0.00,0.00,MATCH,PASS,H.012c,OCC.07,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.07b,203.00,203.00,0.00,0.00,MATCH,PASS,H.012c,OCC.07b,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.08,168.00,168.00,0.00,0.00,MATCH,PASS,H.012d,OCC.08,SHOW_BOTH,Reconstruction matches the exported business view within tolerance.
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.08b,195.00,195.00,0.00,0.00,MATCH,PASS,H.012d,OCC.08b,SHOW_BOTH,"Confirms bed.status=Live alone yields the same 195 as the double Live-bed+Live-apartment filter in this dataset (H.008: no Live bed sits in a non-Live apartment) -- structurally different SQL, coincidentally identical result here."
M.OCC.001,Current occupancy (5+ definitions),"Def A (v_occupancy, Staying only, Live+Live)",OCC.09,7.00,7.00,0.00,0.00,MATCH,PASS,H.011 (cross-check: the 7 beds ARE captured correctly here),OCC.09,SHOW_BOTH,"Proves get_universal_metrics_v2's bucketing formula (NOT has_staying AND has_notice) does NOT share v_occupancy's defect -- the same 7 beds are correctly isolated, not lost."
M.OCC.002,Occupancy by property,"Def A (v_occupancy, Staying only, Live+Live)",,"{'occupied': 168, 'total': 195, 'occupancy_pct': 86.15}",,,,UNVERIFIED,UNVERIFIED,,,SHOW_BOTH,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.OCC.003,Occupancy by apartment,,,,,,,NOT_IMPLEMENTED,NOT_IMPLEMENTED,,,NOT_DETERMINABLE,No Phase 1 calculator (out of scope -- see Phase 1 report).
M.OCC.004,Occupancy by bed,,,,,,,NOT_IMPLEMENTED,NOT_IMPLEMENTED,,,NOT_DETERMINABLE,No Phase 1 calculator (out of scope -- see Phase 1 report).
M.TEN.001,Staying tenants,Staying tenants,OCC.13,168.00,168.00,0.00,0.00,MATCH,PASS,H.013 allotment_status_rollup,OCC.13,SAFE,Reconstruction matches the exported business view within tolerance.
M.TEN.002,On-Notice tenants,On-Notice tenants,OCC.14,7.00,7.00,0.00,0.00,MATCH,PASS,H.013 allotment_status_rollup,OCC.14,SAFE,Reconstruction matches the exported business view within tolerance.
M.TEN.003,Booked beds,Booked beds,OCC.11,4.00,4.00,0.00,0.00,MATCH,PASS,F.022 v_active_tenants,OCC.11,SAFE,Reconstruction matches the exported business view within tolerance.
M.OCC.005,Historical occupancy,,,,,,,NOT_IMPLEMENTED,NOT_IMPLEMENTED,,,SHOW_BOTH,No Phase 1 calculator (out of scope -- see Phase 1 report).
M.LIFE.001,Tenant lifecycle (staying_status sync),Tenant lifecycle (staying_status sync),,"{'tenants_checked': 989, 'mismatches': 10}",,,,UNVERIFIED,UNVERIFIED,,,SAFE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.LIFE.002,Move-ins,Move-ins,,1197,,,,UNVERIFIED,UNVERIFIED,,,SAFE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.LIFE.003,Move-outs,Move-outs,,1007,,,,UNVERIFIED,UNVERIFIED,,,SAFE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.LIFE.004,Exit reconciliation,Exit reconciliation,,{'worklist_rows': 45},,,,UNVERIFIED,UNVERIFIED,,,SAFE,"No validation_summary.csv check maps to this metric_id (no reference view to compare against, or not re-validated at semantic-layer join -- see metric_reconstruction.md)."
M.MAINT.001,Maintenance volume,Maintenance volume,MAINT.01,1613.00,1613.00,0.00,0.00,MATCH,PASS,F.015 v_maintenance_metrics,MAINT.01,SAFE,Reconstruction matches the exported business view within tolerance.
M.MAINT.001,Maintenance volume,Maintenance volume,MAINT.01b,1613.00,1613.00,0.00,,MATCH,PASS,H.019 maintenance_view_vs_actual,MAINT.01b,SAFE,"MECHANISM FOUND (was 'not determinable' in DQ.027): joining maintenance_tickets (1611 live rows) to ticket_resolutions on ticket_id fans out to 1613 rows, because H.018 shows 2 tickets have 2 resolutions each (462 tickets x1 + 2 tickets x2 = 464 tickets producing 466 resolution rows, i.e. +2 extra rows on top of the 1611 base table count via the 2 double-resolved tickets). 1611 + 2 = 1613 = 1613 exactly, matching H.019's view_reported_tickets. Any metric joining tickets to resolutions without deduplicating multi-resolution tickets will inherit this +2 double-count."
