metric_id,semantic_name,display_name,domain,description,definition,source_objects,source_columns,grain,dimensions,date_field,aggregation,filters,reversal_policy,soft_delete_policy,historical_policy,dependency_metrics,validation_reference,conflict_ids,dq_ids,trust_level,ai_handling,allowed_questions,prohibited_questions,caveat_text,status
M.AR.001D,Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),Tenant dues -- Def D: tenant_transactions (frozen legacy ledger),Financial,"Balance computed from the separate, frozen tenant_transactions table -- NOT wired to any live posting trigger.","SUM(amount WHERE direction='DEBIT') - SUM(amount WHERE direction='CREDIT') per allotment, filtered to ledger_type IN ('CHARGE','PAYMENT'). TWO sub-variants exist: unclipped (can net negative across the total) and GREATEST(...,0)-floored per allotment.","tenant_transactions; None (tenant_transactions is a raw table, not a view)","tenant_transactions.amount, direction, ledger_type, allotment_id, date","org=organization_id; property=Not carried directly on tenant_transactions; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed,"date (NOTE: 1 row has a corrupt year, '0206-03-27' -- DQ.023)","SUM(signed amount) per allotment_id, unclipped OR floored at 0 (two sub-definitions)","ledger_type IN ('CHARGE','PAYMENT')",NOT APPLICABLE -- this table has no relationship to journal_entries/is_reversal_of at all.,"Not applicable (no is_deleted column; the table is a frozen, one-time bulk load).","date column spans 2019-11-03 to 2026-05-05 nominally, but ALL 16,451 rows were created_at between 2026-04-17 and 2026-04-28 -- an 11-day migration/backfill window, not a live feed. FROZEN since that load (DQ.019).",,"H.052 (T164500.151) def2_tenant_transactions column (validated: AR.04a, exact match Rs.9,968,023.32, proving the unclipped-sum mechanism). The floored variant (AR.04b) has no exported reference to compare against (NOT_DETERMINABLE).",C.001;C.003;C.005,DQ.002;DQ.019;DQ.023;DQ.037,BLOCK,BLOCK,"Only meta-questions (""why can't you tell me tenant dues -- def d: tenant_transactions (frozen legacy ledger)"", ""what are the competing definitions"") -- never a single-number answer.","Any direct ""the tenant dues -- def d: tenant_transactions (frozen legacy ledger) is X"" answer; picking the definition that looks most favourable; silently defaulting to one definition.",BLOCKED: do not state a single number for this metric. Conflicting definitions exist (see conflicts.md C.001;C.003;C.005). See data_quality_report.md DQ.002;DQ.019;DQ.023.,ACTIVE_BLOCKED
M.AR.002,Tenant dues by tenant,Tenant dues by tenant,Financial,Drill-down of M.AR.001A-D to a single tenant/allotment.,"Same four definitions as M.AR.001A-D, filtered to WHERE tenant_id = <x> (or allotment_id = <x>).","Same as M.AR.001A-D; F.006, F.007",Same as M.AR.001A-D,"org=organization_id; property=Via tenant_allotments.property_id; tenant/allotment=tenant_id, allotment_id (native grain)",organization; property; tenant/allotment/bed,Same as M.AR.001A-D,"Same, at tenant/allotment grain (this IS the natural grain of all four definitions)",+ tenant_id or allotment_id filter,Same four-way treatment as M.AR.001A-D,Same as M.AR.001A-D,Same as M.AR.001A-D,M.AR.001A;M.AR.001B;M.AR.001C;M.AR.001D,Same underlying validation as M.AR.001A-D (AR.01-AR.04c).,C.001;C.003;C.005,DQ.002;DQ.019,SHOW_BOTH,SHOW_BOTH,"Questions about tenant dues by tenant may be answered ONLY by presenting all competing definitions side by side, each labelled.",Stating a single tenant dues by tenant figure without naming which definition it is; averaging or blending competing definitions.,SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.001;C.003;C.005 for the full comparison.,ACTIVE
M.AR.003,Tenant dues by property,Tenant dues by property,Financial,"M.AR.001A/B aggregated by property (requires joining tenant_allotments.property_id, since the AR views themselves do not carry property_id).","Same as M.AR.001A/B, joined to tenant_allotments on allotment_id to bring in property_id, then GROUP BY property_id.","journal_lines, journal_entries, coa_accounts, tenant_allotments; F.006, F.007",+ tenant_allotments.property_id,"org=organization_id; property=property_id (via join, not native to the AR views); tenant/allotment=Aggregated away",organization; property; tenant/allotment/bed,Same as M.AR.001A/B,SUM per property_id,Same as M.AR.001A/B,"Same as M.AR.001A/B (both conventions, total proven identical)",Same as M.AR.001A/B,Same as M.AR.001A/B,M.AR.001A;M.AR.001B,Not separately validated (degenerate single-property case); underlying totals validated via AR.01/AR.02.,C.001;C.002,DQ.002,SHOW_BOTH,SHOW_BOTH,"Questions about tenant dues by property may be answered ONLY by presenting all competing definitions side by side, each labelled.",Stating a single tenant dues by property figure without naming which definition it is; averaging or blending competing definitions.,SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.001;C.002 for the full comparison.,ACTIVE
M.DEP.001,Deposit held,Deposit held,Financial,"Total tenant security deposits currently held (liability), account 2100.","SUM(credit-debit) WHERE account_code='2100' AND party_kind='tenant', reversal-excluded.","journal_lines, journal_entries, coa_accounts; v_advance_balances (F.010)","journal_lines.debit, credit, party_id, allotment_id; coa_accounts.code='2100'","org=organization_id; property=Not carried directly; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed; account/COA,entry_date (not a filter for the current balance),"SUM(credit-debit) per tenant/allotment, or grand total",account_code='2100' AND party_kind='tenant',EXCLUDED (v_account_balances convention).,Inherited via reversal exclusion.,"Ledger span for account 2100 activity, within 2019-11 to 2026-09; deposit_settlements table itself spans 2023-04 to 2026-09.",,"F.010 v_advance_balances.deposit_held (validated: DEP.01, exact match Rs.4,221,150.00).",,DQ.011;DQ.012;DQ.035,SAFE,SAFE,"Direct questions about deposit held (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.DEP.002,Deposit settlements,Deposit settlements,Financial,"Deposit settlement transactions: deductions (rent, EB, late fees, damages, other) and refund_amount, for allotments that have exited.","deposit_settlements table, live rows (NOT is_deleted), with status IN ('completed','approved') as the ledger-posting gate.",deposit_settlements; v_export_deposit_settlements (redundant wrapper); trg_settlement_journal_post (posting gate/orchestration; build_settlement_lines composition not exported),"deposit_amount, pending_rent, pending_eb, pending_late_fees, damages, other_deductions, total_deductions, refund_amount, status, settlement_date, is_deleted","org=organization_id; property=Via tenant_allotments join; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed; time (month),settlement_date,"SUM(refund_amount), SUM(total_deductions), COUNT(*) by status","NOT is_deleted; status IN ('completed','approved') for 'what actually posted to the ledger'","Ledger-side posting (via M.DEP.002's journal effect, not the source table itself) follows the standard reverse-and-repost mechanism on status transitions and amount edits (business_logic.md 5.1).","LIVE ROWS ONLY: is_deleted=false for the source total. Ledger side: hard-delete triggers a generic cascade-delete of the JE (business_logic.md 1.4), not a reversal.","2023-04-03 to 2026-09-20 (35 months, settlement_date).",,"H.001 legacy_amount for deposit_settlements (validated: DEP.03, exact match Rs.5,085,959.33); ledger net (validated: DEP.04, exact match Rs.5,669,454.67, reproducing the Rs.583,495.34 gap exactly); entry_count=3 cluster size (validated: DEP.05, 38 vs H.050's 37).",C.016,DQ.008;DQ.012,DISCLOSE,DISCLOSE,"Questions about deposit settlements may be answered directly, WITH the caveat text attached every time.",Stating deposit settlements without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.008;DQ.012. See conflicts.md C.016.",ACTIVE
M.DEP.003,Deposit refunds,Deposit refunds,Financial,Total cash refunded to tenants upon deposit settlement.,"SUM(deposit_settlements.refund_amount) WHERE NOT is_deleted (source) OR SUM(ledger credit on 11xx accounts, source_table='deposit_settlements') (ledger).",deposit_settlements; journal_lines/journal_entries/coa_accounts for the ledger side; trg_settlement_journal_post,"deposit_settlements.refund_amount, is_deleted, settlement_date","org=organization_id; property=Via join; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed; account/COA,settlement_date,SUM(refund_amount),NOT is_deleted,Source total: not applicable. Ledger total: reversal-included via sign-inversion netting (same construction as M.COL.003).,Live rows only (source); reversal-based on the ledger side.,Same as M.DEP.002 (2023-04 to 2026-09).,M.DEP.002,Identical figures to M.DEP.002's DEP.03/DEP.04 (refund_amount IS the field being reconciled there).,C.016,DQ.008,DISCLOSE,DISCLOSE,"Questions about deposit refunds may be answered directly, WITH the caveat text attached every time.",Stating deposit refunds without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.008. See conflicts.md C.016.",ACTIVE
M.EXP.001,"Expenses (total, ledger-derived)","Expenses (total, ledger-derived)",Financial,Total operating expense recognised across all EXPENSE-type ledger accounts (5xxx).,"SUM(signed_amount) WHERE account_type='EXPENSE', reversal-excluded.","journal_lines, journal_entries, coa_accounts; v_pnl (F.001)","Same construction as M.REV.001, account_type='EXPENSE'",org=organization_id; property=property_id (v_pnl grain); tenant/allotment=Not applicable,organization; property; tenant/allotment/bed; time (month); account/COA,entry_date,SUM(signed_amount),account_type='EXPENSE',EXCLUDED (v_account_balances convention).,Inherited via reversal exclusion.,"2023-03-11 to 2026-08-24 (35 months, expenses.expense_date) within the ledger's fuller 2019-2026 span (other expense sources, e.g. owner_payments, extend further back).",,"F.001 v_pnl.expenses (validated: EXP.01, exact match Rs.20,784,831.96; monthly series in EXP.07, 0 mismatches).",,DQ.033,SAFE,SAFE,"Direct questions about expenses (total, ledger-derived) (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.EXP.002,Expenses by category,Expenses by category,Financial,"Expense total broken down into named categories (owner_rent, maintenance, housekeeping, utilities, property_ops, administrative, salaries, marketing, other_expenses, electricity).","v_pnl_by_category's 9 hand-written account_code LIKE-pattern buckets, PLUS a required 10th 'electricity' bucket (account 5150, '515%' pattern) that the 9 named buckets do NOT capture.","journal_lines, journal_entries, coa_accounts; v_pnl_by_category (F.002); v_expense_composition (F.019, uses a DIFFERENT COA-parent-based rollup, not pattern-based)","coa_accounts.code (pattern-matched: '510%' owner_rent, '52%' maintenance, '53%' housekeeping, '54%' utilities, '55%' property_ops, '56%' administrative, '57%' salaries, '58%' marketing, '59%' other_expenses, '515%' electricity)",org=organization_id; property=property_id; tenant/allotment=Not applicable,organization; property; tenant/allotment/bed; time (month); account/COA,entry_date,SUM(signed_amount) per bucket,account_type='EXPENSE',"EXCLUDED (v_account_balances convention, same as M.EXP.001).",Same as M.EXP.001,Same ledger span as M.EXP.001 (57 months with EXPENSE activity).,,"F.002 v_pnl_by_category (validated: EXP.02 sum_of_buckets exact match Rs.19,754,213.96; EXP.03 electricity exact match Rs.1,030,618.00; EXP.04 proves the unbucketed==electricity identity exactly; EXP.05/EXP.06 cross-checked against H.017's 57-month totals, exact match).",C.012;C.013;C.022,DQ.015;DQ.033;DQ.034,DISCLOSE,DISCLOSE,"Questions about expenses by category may be answered directly, WITH the caveat text attached every time.",Stating expenses by category without its caveat text; using it as if it were reconciled against every alternative source.,"DISCLOSE: answer, but state the known limitation. See data_quality_report.md DQ.015. See conflicts.md C.012;C.013;C.022.",ACTIVE
M.OWN.001,Owner payments (source total),Owner payments (source total),Financial,Total rent/revenue-share paid or accrued to property owners.,"SUM(COALESCE(escalated_amount, base_amount)) FROM owner_payments, status IN ('paid','pending') for the period-relevant subset, or all rows for an all-time total.",owner_payments; trg_owner_payment_journal_post (posting orchestration ONLY -- body NOT among the 25 exported; exact account/amount composition Not determinable from exported evidence),"owner_payments.escalated_amount, base_amount, status, bill_date, paid_date, due_date, payment_month",org=organization_id; property=Via owner_contracts/apartment_id join; tenant/allotment=Not applicable,organization; property; tenant/allotment/bed; time (month),"bill_date (ledger-posting basis, per normalize_owner_payment_journal_dates) OR COALESCE(paid_date,due_date) (v_diag_owner_rent_missing_from_profit's basis) -- THESE TWO BASES DISAGREE at the monthly grain on 7 of 54 months even though they agree exactly on the all-time total (DQ.017).",SUM(escalated_or_base),"status IN ('paid','pending') to match v_diag_owner_rent_missing_from_profit's convention; or none for a raw total","Not applicable at the source level. Ledger side: PROVEN PERFECT match to source (H.001, 0.00 diff) -- the only one of the 6 source-vs-ledger reconciliations in H.001 with zero drift.","owner_payments has NO is_deleted column in its exported schema -- all rows are 'live' by construction; deletion is hard-delete only (cascade-deletes the JE, business_logic.md 1.4/9.1).","2022-11-01 to 2026-08-01 (46 months, bill_date).",,"H.001 legacy_amount/je_net_amount for owner_payments (validated: OWNPAY.01/OWNPAY.02, both exact matches, Rs.19,019,250.00).",,DQ.017;DQ.020,SAFE,SAFE,"Direct questions about owner payments (source total) (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.OWN.002,"Owner rent (ledger bucket, 3 definitions)","Owner rent (ledger bucket, 3 definitions)",Financial,"How much of total expenses is 'owner rent', as it participates in profit -- THREE definitions coexist.","Def i (v1, EXCLUDES entirely): get_universal_metrics v1's totalProfit has NO owner_payments term at all. Def ii (ledger raw): v_pnl_by_category's owner_rent bucket ('510%' pattern), whatever is actually posted. Def iii (v2, SUBSTITUTED): get_universal_metrics_v2 explicitly discards the ledger's '510%' bucket for the period and replaces it with SUM(owner_payments.escalated_amount) filtered on bill_date.","journal_lines, journal_entries, coa_accounts, owner_payments; v_pnl_by_category (F.002, Def ii); v_diag_owner_rent_missing_from_profit (F.028, documents Def i's gap in its own text); get_universal_metrics (Def i), get_universal_metrics_v2 (Def iii) -- both bodies fully exported","coa_accounts.code LIKE '510%' (Def ii); owner_payments.escalated_amount, bill_date (Def iii)",org=organization_id; property=property_id (Def ii only); tenant/allotment=Not applicable,organization; property; tenant/allotment/bed; time (month),entry_date (Def ii); bill_date (Def iii),SUM per definition,account_type='EXPENSE' AND code LIKE '510%' (Def ii); bill_date BETWEEN period (Def iii),"Def ii: EXCLUDED (v_account_balances convention). Def i/iii: not ledger-derived at the owner-rent-specific level (Def iii sources raw owner_payments, no reversal concept).",Def ii inherited via reversal exclusion; Def iii: owner_payments has no is_deleted column.,"All-time total PROVEN IDENTICAL across Def ii and Def iii's underlying source (Rs.19,019,250.00, both H.030 and H.001). Monthly grain: 7 of 54 months differ (DQ.017) due to the bill_date-vs-paid_date/due_date basis mismatch between v_diag_owner_rent_missing_from_profit and the other two.",M.OWN.001;M.EXP.002,"H.030 pnl_owner_rent (validated: PROFIT.04, exact match Rs.19,019,250.00); F.028 owner_rent_paid_or_accrued (validated: PROFIT.03, exact match).",C.010;C.011,DQ.016;DQ.017;DQ.020,SHOW_BOTH,SHOW_BOTH,"Questions about owner rent (ledger bucket, 3 definitions) may be answered ONLY by presenting all competing definitions side by side, each labelled.","Stating a single owner rent (ledger bucket, 3 definitions) figure without naming which definition it is; averaging or blending competing definitions.",SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.010;C.011 for the full comparison.,ACTIVE
M.PROFIT.001,Gross/net profit (3 definitions),Gross/net profit (3 definitions),Financial,Overall business profitability -- THREE definitions coexist and are NOT interchangeable.,"Def A (ledger, v_pnl): revenue - expenses, both ledger-derived, whatever owner-rent amount the ledger happens to hold. Def B (get_universal_metrics v1): SUM(invoices.total_amount) - SUM(expenses.amount), ALL-TIME/period-scoped from application tables, NO owner_payments term. Def C (get_universal_metrics v2, owner-rent-inclusive): ledger revenue - (ledger expenses with the owner_rent bucket explicitly replaced by SUM(owner_payments.escalated_amount) for the period).","Def A: journal_lines/journal_entries/coa_accounts. Def B: invoices, expenses. Def C: journal_lines/journal_entries/coa_accounts + owner_payments.; v_pnl (F.001, Def A only); get_universal_metrics (Def B), get_universal_metrics_v2 (Def C) -- both bodies fully exported","See M.REV.001/M.EXP.001 (Def A); invoices.total_amount, expenses.amount (Def B); + owner_payments.escalated_amount, bill_date (Def C)",org=organization_id; property=property_id (Def A/C); not natively carried in a simple Def B reconstruction; tenant/allotment=Not applicable,organization; property; tenant/allotment/bed; time (month),"entry_date (Def A/C); COALESCE(billing_month,invoice_date,created_at) (Def B, invoices) / expense_date (Def B, expenses)","revenue - expenses, per definition","account_type IN ('INCOME','EXPENSE') (Def A); is_deleted=false on invoices (Def B)",Def A/C: EXCLUDED (v_account_balances convention). Def B: NOT APPLICABLE -- never touches journal_entries at all; an invoice's ledger reversal has zero effect on Def B.,Def A/C: inherited via reversal exclusion. Def B: is_deleted=false on invoices; expenses has no is_deleted column (all rows live).,"All-time reconstruction spans the ledger's 2019-2026 window (Def A/C) or invoices/expenses' narrower 2023-2026 windows (Def B) -- Def B is NOT bounded by ledger availability and can include invoices dated beyond the ledger's last posted month (a Rs.749,371.40 / 1.06% gap was found between this pass's all-time Def-B reconstruction and H.030's ledger-bounded 54-month figure -- a scope difference, not a new defect).",M.REV.001;M.EXP.001;M.OWN.001;M.OWN.002;M.INV.001,"F.001 v_pnl.net_profit (validated: PROFIT.01, exact match Rs.51,920,761.47, Def A); H.030's profit_if_owner_rent_excluded (validated: PROFIT.05, exact match Rs.70,940,012 vs this pass's own Def-B reconstruction of Rs.71,689,383.40 -- 1.06% apart, explained by scope per above); overstatement percentage (validated: PROFIT.06, 36.63% reconstructed vs 36.6% in conflicts.md C.011, exact match).",C.010;C.011,DQ.016;DQ.017,BLOCK,BLOCK,"Only meta-questions (""why can't you tell me gross/net profit (3 definitions)"", ""what are the competing definitions"") -- never a single-number answer.","Any direct ""the gross/net profit (3 definitions) is X"" answer; picking the definition that looks most favourable; silently defaulting to one definition.",BLOCKED: do not state a single number for this metric. Conflicting definitions exist (see conflicts.md C.010;C.011). See data_quality_report.md DQ.016;DQ.017.,ACTIVE_BLOCKED
M.PNL.001,P&L by month,P&L by month,Financial,"Monthly revenue, expenses, and net_profit time series, ledger-derived.","M.REV.002 and M.EXP.001's monthly reconstruction, joined at (property_id, month) grain, net_profit = revenue - expenses.","journal_lines, journal_entries, coa_accounts; v_pnl (F.001)",Union of M.REV.002 and M.EXP.001's columns,"org=organization_id; property=property_id (required grain component, see M.REV.002); tenant/allotment=Not applicable",organization; property; tenant/allotment/bed; time (month),"entry_date, truncated to month","SUM(signed_amount) per (property_id, month), split by account_type, net_profit = revenue-expenses","account_type IN ('INCOME','EXPENSE')",EXCLUDED (v_account_balances convention).,Inherited via reversal exclusion.,"57 (property,month) rows / 53 distinct calendar months with INCOME activity; 57 distinct months with EXPENSE activity, spanning the ledger's 2019-11 to 2026-09 window (activity is NOT uniform across that full span -- see business_logic.md 9 for the actual per-domain coverage).",M.REV.002;M.EXP.001,"F.001 v_pnl, monthly rows (validated: REV.02/EXP.07 for the two halves; 0 VALUE mismatches across all 57 overlapping rows; monthly_validation/revenue_by_month.csv and expenses_by_month.csv).",C.012;C.013,DQ.015;DQ.033,SAFE,SAFE,"Direct questions about p&l by month (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.CASH.001,Cash balance,Cash balance,Financial,Current cash-on-hand + bank balance.,"SUM(signed_amount) WHERE account_code IN ('1110','1120'), reversal-excluded, all-time (a running balance, not period-scoped).","journal_lines, journal_entries, coa_accounts; v_org_cash_balance (F.011)","Same construction as M.REV.001, filtered to codes 1110/1120",org=organization_id; property=Not carried on cash-account lines; tenant/allotment=Not applicable,organization; property; tenant/allotment/bed; account/COA,entry_date (not a filter for the current balance -- this is a running total),"SUM(signed_amount), all postings to date","code IN ('1110','1120')",EXCLUDED (v_account_balances convention).,Inherited via reversal exclusion.,"Full ledger span (2019-11 to 2026-09) -- this is a cumulative balance, not a period figure.",,"F.011 v_org_cash_balance (not independently re-validated in this pass's scripts -- same construction pattern as M.DEP.001, which IS validated exactly; recommend adding to a future validation pass).",,,SAFE,SAFE,"Direct questions about cash balance (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.TB.001,Trial balance / accounting checks,Trial balance / accounting checks,Financial,"Per-account debit/credit totals and balance, the fundamental accounting-integrity check (total debits = total credits across the whole ledger).","TWO views exist: v_trial_balance (reversal-excluded, only accounts with activity) and v_trial_balance_detailed (reversal-included via raw journal_lines, ALL 57 COA accounts including zero-activity ones via LEFT JOIN).","journal_lines, journal_entries, coa_accounts; v_trial_balance (F.012), v_trial_balance_detailed (F.013), v_account_rollup (F.014, adds parent/child COA rollup)","journal_lines.debit, credit, account_id; coa_accounts.code, name, account_type, normal_balance, parent_id",org=organization_id; property=Not applicable at account grain; tenant/allotment=Not applicable,organization; tenant/allotment/bed; account/COA,Not applicable (all-time balance),"SUM(debit), SUM(credit), balance = debit-credit or credit-debit per normal_balance",None (all accounts) or is_reversal_of IS NULL AND not-reversed (F.012's convention),"BOTH conventions exist side by side and are BOTH exact -- F.012 (24 accounts with activity, reversal-excluded) and F.013 (57 accounts, all of COA, reversal-included) were independently reconstructed and BOTH matched their respective exported views exactly in this pass.",F.012 inherits reversal-based netting; F.013 does not filter at all (raw journal_lines).,"Full ledger span, 2019-11 to 2026-09.",,"F.012 v_trial_balance (validated: LEDGER.04, exact match, 24/24 accounts, 0 mismatches); F.013 v_trial_balance_detailed (validated: LEDGER.07, exact total_debit match Rs.217,212,447.24); H.007's 10-account reversal-effect set (validated: LEDGER.08, exact match).",C.002,,SAFE,SAFE,"Direct questions about trial balance / accounting checks (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
M.OCC.001,Current occupancy (5+ definitions),Current occupancy (5+ definitions),Operations,"What fraction of beds are occupied right now -- FIVE-PLUS structurally different, non-interchangeable definitions coexist. The AI must state which one it is using.","Def A (v_occupancy): Live bed+apt, Staying only = 168/195 = 86.15%. Def B: Live bed+apt, Staying+On-Notice = 175/195 = 89.74%. Def C: ALL beds (no Live filter), Staying+On-Notice = 175/203 = 86.21%. Def D (get_universal_metrics v1): bed.status=Live only (no apartment filter), Staying = 168/195. Def E (get_bed_occupancy_timeline): Staying+On-Notice+Exited, historical, ALL beds = 194/203 = 95.57% (lifetime, not a snapshot). get_universal_metrics_v2 computes occupancyPct = (occupied+notice)/total, matching Def B's numerator basis, PLUS a 6th metric, monthOccupancyPct (day-weighted, current calendar month only).","beds, apartments, tenant_allotments; v_occupancy (F.005), v_active_tenants (F.022, tenant-grained, see M.OCC.002); get_universal_metrics (Def D), get_universal_metrics_v2 (Def B basis + monthOccupancyPct), get_bed_occupancy_timeline (Def E), get_occupancy_intelligence (day-weighted historical, 7th metric family, no exported output)","beds.status, apartment_id; apartments.status; tenant_allotments.staying_status, bed_id, onboarding_date, actual_exit_date","org=organization_id; property=property_id; tenant/allotment=bed_id (beds are the natural grain, not tenants, for Def A-D)",organization; property; tenant/allotment/bed; time (month),Not applicable for snapshot definitions (A-D); onboarding_date/actual_exit_date for Def E,COUNT(*) FILTER (...) per definition,beds.status='Live' (+ apartments.status='Live' for A/B); staying_status IN (varies by definition),Not applicable (no ledger involvement).,Not applicable (beds/apartments/tenant_allotments have no is_deleted column in their exported schema; status fields serve this role instead).,tenant_allotments.onboarding_date: 2019-11-03 to 2026-08-31 (67 months) -- the widest historical span of any domain in the package.,,"F.005 v_occupancy (validated: OCC.01-05, all exact matches, including the reproduced defect); H.012a-e (validated: OCC.06-08b, all exact matches); F.022 v_active_tenants (validated: OCC.10-12, all exact matches).",C.006;C.007;C.008;C.009,DQ.004;DQ.005,SHOW_BOTH,SHOW_BOTH,"Questions about current occupancy (5+ definitions) may be answered ONLY by presenting all competing definitions side by side, each labelled.",Stating a single current occupancy (5+ definitions) figure without naming which definition it is; averaging or blending competing definitions.,SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.006;C.007;C.008;C.009 for the full comparison.,ACTIVE
M.OCC.002,Occupancy by property,Occupancy by property,Operations,"Any of M.OCC.001's definitions, grouped by property_id.","Same 5+ definitions as M.OCC.001, GROUP BY property_id.","Same as M.OCC.001; v_occupancy (F.005) is already grouped by (organization_id, property_id); Same as M.OCC.001",+ apartments.property_id (via beds.apartment_id),org=organization_id; property=property_id (native grain); tenant/allotment=Aggregated away,organization; property; tenant/allotment/bed,Same as M.OCC.001,"Same, per property_id",Same as M.OCC.001,Not applicable,Not applicable,Same as M.OCC.001,M.OCC.001,Identical to M.OCC.001 (single-property dataset).,C.006;C.007;C.008;C.009,DQ.004;DQ.005,SHOW_BOTH,SHOW_BOTH,"Questions about occupancy by property may be answered ONLY by presenting all competing definitions side by side, each labelled.",Stating a single occupancy by property figure without naming which definition it is; averaging or blending competing definitions.,SHOW_BOTH: present every definition with its label; never silently pick one. Multiple valid definitions exist for this metric. See conflicts.md C.006;C.007;C.008;C.009 for the full comparison.,ACTIVE
M.OCC.003,Occupancy by apartment,Occupancy by apartment,Operations,Bed-fill rate at the apartment grain -- primarily supported by get_occupancy_intelligence's 'apartments' output and the heatmap.,"get_occupancy_intelligence's apt/heat CTEs: per-apartment total_beds, occupied_beds_now, day-weighted occupancy_pct, monthly heatmap.","beds, apartments, tenant_allotments; None (get_occupancy_intelligence has no exported output rows); get_occupancy_intelligence (full body exported)","apartments.id, apartment_code, property_id; beds joined per apartment; tenant_allotments per bed","org=organization_id; property=property_id (via apartment); tenant/allotment=apartment_id (grain), bed_id (input)",organization; property; tenant/allotment/bed; time (month),"Window-bounded (p_from/p_to parameters, day-level)","Day-weighted occupied_days/available_days per apartment, plus current-snapshot occupied_beds_now (status_now IN ('occupied','notice'))",beds.status='Live' AND apartments.status='Live',Not applicable,Not applicable,Bounded by the p_from/p_to parameters supplied; underlying data spans 2019-11 to 2026-08.,,No exported output to validate against -- Not determinable from exported evidence whether a reconstruction matches production output.,C.006;C.008,DQ.004,NOT_DETERMINABLE,NOT_DETERMINABLE,Only questions about whether/how occupancy by apartment COULD be reconstructed -- never a claimed actual value.,Presenting a reconstructed value as if it were confirmed against production output.,No exported reference exists to validate this metric; state that reconstruction is possible but unverified.,ACTIVE_UNVERIFIED
M.OCC.004,Occupancy by bed,Occupancy by bed,Operations,"Per-bed status/history -- get_bed_occupancy_timeline (day-range state list) and get_occupancy_intelligence's 'beds' output (score, fill/stay/turnover metrics).","get_bed_occupancy_timeline(bed_id, from, to): occupied/vacant day-range segments per bed. get_occupancy_intelligence: adds occupancy_pct, avg_fill_days, avg_stay_days, turnover, realized/potential revenue, a 0-100 score.","tenant_allotments (+ beds/apartments for availability window); get_bed_occupancy_timeline, get_occupancy_intelligence (both bodies exported)","tenant_allotments.onboarding_date, actual_exit_date, staying_status, monthly_rental, bed_id","org=organization_id; property=Via bed->apartment->property; tenant/allotment=bed_id (native grain), tenant_id per segment",organization; property; tenant/allotment/bed,"onboarding_date, actual_exit_date, day-range window [p_from,p_to] clamped to LEAST(p_to, CURRENT_DATE)","Day-range segmentation (occupied/vacant), then per-bed aggregate stats","staying_status IN ('Staying','On-Notice','Exited') AND onboarding_date IS NOT NULL",Not applicable,Not applicable,"Full tenant_allotments history for the bed in question, clamped to the query window and apartment availability (start_date/end_date).",,No exported output exists for either function at the per-bed grain.,C.008,,NOT_DETERMINABLE,NOT_DETERMINABLE,Only questions about whether/how occupancy by bed COULD be reconstructed -- never a claimed actual value.,Presenting a reconstructed value as if it were confirmed against production output.,No exported reference exists to validate this metric; state that reconstruction is possible but unverified.,ACTIVE_UNVERIFIED
M.TEN.001,Staying tenants,Staying tenants,Operations,Tenants/allotments currently in Staying status.,"COUNT(*) WHERE staying_status = 'Staying', at either the allotment grain or DISTINCT tenant_id grain.","tenant_allotments; v_active_tenants (F.022, tenant-grained, combines Staying+On-Notice, not Staying alone)","tenant_allotments.staying_status, tenant_id, bed_id","org=organization_id; property=property_id; tenant/allotment=tenant_id, allotment_id",organization; property; tenant/allotment/bed,Not applicable (current-state field),COUNT(*) or COUNT(DISTINCT tenant_id),staying_status = 'Staying',Not applicable,Not applicable,tenant_allotments.onboarding_date: 2019-11-03 to 2026-08-31.,,"H.013 allotment_status_rollup (validated: OCC.13, exact match, 168).",,DQ.003,SAFE,SAFE,"Direct questions about staying tenants (current value, trend, by-period, by-property where grain supports it).",None beyond the metric's own documented scope (see Known limitations).,,ACTIVE
