key,logical_name,class,rows,cols,bytes,file,note
T.ticket_purchases,public.ticket_purchases,base_table,4,14,1349,Supabase Snippet Untitled query - 2026-08-29T155500.738.csv,base table export
T.ticket_resolutions,public.ticket_resolutions,base_table,466,21,167676,Supabase Snippet Untitled query - 2026-08-29T155538.065.csv,base table export
T.user_roles,public.user_roles,base_table,210,3,17304,Supabase Snippet Untitled query - 2026-08-29T155612.010.csv,"base table, full column set; +1 row vs M.006 (live write)"
T.vendors,public.vendors,base_table,40,7,5561,Supabase Snippet Untitled query - 2026-08-29T155701.385.csv,base table export
T.whatsapp_events,public.whatsapp_events,base_table,1943,16,614672,Supabase Snippet Untitled query - 2026-08-29T155733.189.csv,base table export
T.whatsapp_payment_submissions,public.whatsapp_payment_submissions,base_table,387,19,147505,Supabase Snippet Untitled query - 2026-08-29T155808.662.csv,base table export
T.whatsapp_send_deliveries,public.whatsapp_send_deliveries,base_table,2422,11,711526,Supabase Snippet Untitled query - 2026-08-29T155822.295.csv,base table export
T.whatsapp_send_jobs,public.whatsapp_send_jobs,base_table,395,14,103726,Supabase Snippet Untitled query - 2026-08-29T155832.894.csv,base table export
H.001,je_amount_reconciliation,diagnostic,6,5,381,Supabase Snippet Untitled query (28).csv,Source amount vs ledger net by source_table
H.001b,je_amount_reconciliation_rerun,diagnostic,6,5,381,Supabase Snippet Untitled query - 2026-08-29T163922.895.csv,EXACT DUPLICATE of H.001
H.002,je_source_counts,diagnostic,7,7,368,Supabase Snippet Untitled query (29).csv,Live source rows vs JE forward/reversal/distinct
H.002b,je_source_counts_rerun,diagnostic,7,7,368,Supabase Snippet Untitled query - 2026-08-29T163930.103.csv,EXACT DUPLICATE of H.002
H.003,je_stub_pollution,diagnostic,9,5,292,Supabase Snippet Untitled query (30).csv,Empty/zero JE by source_table
H.003b,je_stub_pollution_rerun,diagnostic,9,5,292,Supabase Snippet Untitled query - 2026-08-29T163939.871.csv,Re-run of H.003 - compare row order/content
H.004,je_by_source_dates,diagnostic,9,9,1112,Supabase Snippet Untitled query (31).csv,JE entry_date + posted_at range per source_table
H.005,je_reversal_summary,diagnostic,1,6,133,Supabase Snippet Untitled query (32).csv,"14236 entries, 347 reversals (2.44 pct)"
H.006,ar_definition_conflict,diagnostic,2,5,205,Supabase Snippet Untitled query (33).csv,v_outstanding_receivables vs v_tenant_current_dues
H.007,trial_balance_reversal_effect,diagnostic,57,8,3751,Supabase Snippet Untitled query (34).csv,57 accounts: TB excl vs incl reversals
H.008,bed_apartment_status_matrix,diagnostic,3,4,109,Supabase Snippet Untitled query (35).csv,Live/Not-Active bed x apartment
H.009,entity_status_counts,diagnostic,5,3,116,Supabase Snippet Untitled query (36).csv,property/apartment/bed status counts
H.010,v_occupancy_snapshot_dup,diagnostic,1,8,181,Supabase Snippet Untitled query (37).csv,v_occupancy result - DUPLICATE of F.005
H.011,unbucketed_on_notice_beds,diagnostic,7,4,417,Supabase Snippet Untitled query (38).csv,THE 7 On-Notice-only beds (occupied=F booked=F on_notice=T)
H.012,occupancy_defs_ABC,diagnostic,3,3,173,Supabase Snippet Untitled query (39).csv,3 occupancy definitions A/B/C
H.012a,occupancy_def_A,diagnostic,1,3,100,Supabase Snippet Untitled query..csv,A: v_occupancy Live bed+apt Staying only = 168/195
H.012b,occupancy_def_B,diagnostic,1,3,93,..csv,B: Live bed+apt Staying+On-Notice = 175/195
H.012c,occupancy_def_C,diagnostic,1,3,76,Supabase Snippet Untitled query (2)..csv,C: ALL beds Staying+On-Notice = 175/203
H.012d,occupancy_def_D,diagnostic,1,3,101,Supabase Snippet Untitled query (3)..csv,D: get_universal_metrics beds.status=Live Staying = 168/195
H.012e,occupancy_def_E,diagnostic,1,3,102,Supabase Snippet Untitled query (4)..csv,E: get_bed_occupancy_timeline Staying+On-Notice+Exited = 194/203
H.013,allotment_status_rollup,diagnostic,1,5,117,Supabase Snippet Untitled query (40).csv,168 Staying / 7 On-Notice / 7 beds held / 0 both
H.014,staying_status_profile,diagnostic,5,8,345,Supabase Snippet Untitled query (41).csv,5 staying_status buckets with date ranges
H.015,v_active_tenants_snapshot_dup,diagnostic,1,5,161,Supabase Snippet Untitled query (42).csv,v_active_tenants - DUPLICATE of F.022
H.016,coa_accounts_flat,diagnostic,57,10,4789,Supabase Snippet Untitled query (43).csv,57 chart-of-accounts rows with parent names
H.017,pnl_bucket_gap,diagnostic,57,5,1691,Supabase Snippet Untitled query (44).csv,57 months: total_expenses vs sum_of_buckets vs unbucketed
H.018,resolutions_per_ticket,diagnostic,2,2,42,Supabase Snippet Untitled query (45).csv,"462 tickets x1, 2 tickets x2 resolutions"
H.019,maintenance_view_vs_actual,diagnostic,1,4,82,Supabase Snippet Untitled query (46).csv,view 1613 vs actual 1611 tickets
H.020,receipt_allocations_empty,diagnostic,1,7,154,Supabase Snippet Untitled query (47).csv,0 allocation rows vs 5758 live receipts
H.020b,receipt_allocations_empty_rerun,diagnostic,1,7,154,Supabase Snippet Untitled query (48).csv,EXACT DUPLICATE of H.020
H.021,journal_line_allotment_orphans,diagnostic,1,2,42,Supabase Snippet Untitled query (49).csv,"14407 lines with allotment, 0 orphans"
H.022,journal_lines_by_party_kind,diagnostic,4,7,253,Supabase Snippet Untitled query (50).csv,4 party_kind buckets debit/credit/net
H.023,party_kind_by_account,diagnostic,22,7,1221,Supabase Snippet Untitled query (51).csv,22 party_kind x account rows
H.024,categorical_key_frequencies,diagnostic,33,3,1623,Supabase Snippet Untitled query (52).csv,33 discriminator value counts
H.025,je_source_orphan_check,diagnostic,3,3,159,Supabase Snippet Untitled query (53).csv,"3 source refs, 0 orphans"
H.026,tenant_transactions_taxonomy,diagnostic,17,9,1461,Supabase Snippet Untitled query (54).csv,17 ledger_type/direction/category combos
H.027,tenant_transactions_sample,diagnostic,1,10,286,Supabase Snippet Untitled query (55).csv,1 sample row
H.028,tenant_balance_4way_sample,diagnostic,200,5,12775,Supabase Snippet Untitled query (56).csv,200 allotments x 4 competing balance definitions
H.029,owner_rent_missing_profit_dup,diagnostic,46,4,5388,Supabase Snippet Untitled query (57).csv,46 months - DUPLICATE of F.028
H.030,pnl_owner_rent_vs_payments,diagnostic,54,6,2354,Supabase Snippet Untitled query (58).csv,54 months: pnl_owner_rent vs owner_payments
H.031,live_equivalents_rowcounts,diagnostic,15,2,374,Supabase Snippet Untitled query (59).csv,15 legacy vs live table row counts
H.032,diagnostic_view_rowcounts,diagnostic,8,2,266,Supabase Snippet Untitled query (60).csv,8 diagnostic views + row counts
H.033,source_vs_ledger_diff_summary,diagnostic,3,3,81,Supabase Snippet Untitled query (61).csv,3 kinds: invoices/receipts/deposit_settlements
H.034,categorical_frequencies_full,diagnostic,230,3,8807,Supabase Snippet Untitled query (62).csv,230 col/value/row frequency rows
H.035,invoice_type_status_matrix,diagnostic,13,10,1068,Supabase Snippet Untitled query (63).csv,13 invoice_type x status x reference_type
H.036,lifecycle_events_sample500,diagnostic,500,9,125004,Supabase Snippet Untitled query (64).csv,LIMIT-500 sample of v_tenant_lifecycle_events (full=2204)
H.037,market_schema_rowcounts,diagnostic,7,2,180,Supabase Snippet Untitled query (65).csv,7 of 17 market tables
H.038,trace_journal_lines_200,diagnostic,200,13,35764,Supabase Snippet Untitled query (66).csv,ROW TRACE 200 journal lines with account+party
H.039,trace_tenant_transactions_200,diagnostic,200,9,32444,Supabase Snippet Untitled query (67).csv,ROW TRACE 200 tenant_transactions
H.040,trace_invoices_drift_200,diagnostic,200,16,23218,Supabase Snippet Untitled query (68).csv,ROW TRACE 200 invoices with drift column
H.041,trace_receipts_200,diagnostic,200,10,15253,Supabase Snippet Untitled query (69).csv,ROW TRACE 200 receipts
H.042,je_intentional_skips,diagnostic,20,6,1975,Supabase Snippet Untitled query - 2026-08-29T163948.943.csv,20 deliberately-unposted source rows
H.043,invoice_drift_rows,diagnostic,2227,9,296338,Supabase Snippet Untitled query - 2026-08-29T163956.045.csv,2227 invoices with amount_paid/balance drift
H.044,allotment_balance_drift_rows,diagnostic,713,5,63782,Supabase Snippet Untitled query - 2026-08-29T164004.026.csv,713 allotments stored vs computed balance
H.045,deposit_phantom_rows,diagnostic,32,7,5999,Supabase Snippet Untitled query - 2026-08-29T164012.559.csv,32 phantom deposit rows
H.046,deposit_ledger_anomalies,diagnostic,22,6,5348,Supabase Snippet Untitled query - 2026-08-29T164021.735.csv,22 deposit ledger anomalies
H.047,exit_recon_worklist_dup,diagnostic,45,16,13130,Supabase Snippet Untitled query - 2026-08-29T164040.168.csv,EXACT DUPLICATE of F.027
H.048,receipt_amount_vs_ledger_rows,diagnostic,11,10,1388,Supabase Snippet Untitled query - 2026-08-29T164413.527.csv,CONFLICT A: 11 receipts source vs ledger amount
H.049,invoice_amount_vs_ledger_rows,diagnostic,120,12,15655,Supabase Snippet Untitled query - 2026-08-29T164423.840.csv,CONFLICT B: 120 invoices source vs ledger amount
H.050,settlement_amount_vs_ledger_rows,diagnostic,43,10,4511,Supabase Snippet Untitled query - 2026-08-29T164432.127.csv,CONFLICT C: 43 settlements source vs ledger
H.051,je_missing_deleted_sources,diagnostic,3,8,234,Supabase Snippet Untitled query - 2026-08-29T164446.333.csv,CONFLICT E: 3 source_tables missing/soft-deleted source
H.052,tenant_balance_4way_full,diagnostic,1213,9,138476,Supabase Snippet Untitled query - 2026-08-29T164500.151.csv,CONFLICT G: 1213 allotments x 4 balance definitions
H.053,bed_status_flags_23,diagnostic,23,4,1313,Supabase Snippet Untitled query - 2026-08-29T164507.566.csv,23 beds with occupied/booked/on_notice flags
H.054,pnl_bucket_gap_dup,diagnostic,57,5,1691,Supabase Snippet Untitled query - 2026-08-29T164515.342.csv,EXACT DUPLICATE of H.017
H.055,duplicate_invoices,diagnostic,322,6,37905,Supabase Snippet Untitled query - 2026-08-29T164527.072.csv,322 allotment/month/type duplicate invoice groups
H.056,overlapping_allotments,diagnostic,187,11,35872,Supabase Snippet Untitled query - 2026-08-29T164534.496.csv,187 bed allotment overlap pairs
H.057,period_value_coverage,diagnostic,223,3,5820,Supabase Snippet Untitled query - 2026-08-29T164541.966.csv,223 tbl/period/rows coverage rows
H.058,maintenance_cost_linkage,diagnostic,1,6,148,Supabase Snippet Untitled query - 2026-08-29T164750.925.csv,resolutions vs linked expenses vs closure cost
FN.000,functions__business_logic,functions,25,8,79289,Supabase Snippet Untitled query - 2026-08-29T163440.513.csv,"25 business-logic function bodies, bundled"
FN.999,functions__remaining_inventory,functions,458,8,38751,Supabase Snippet Untitled query - 2026-08-29T163450.107.csv,"458 remaining routines, signature only"
FN.TRG,routines__trigger_wiring,functions,55,9,14494,Supabase Snippet Untitled query - 2026-08-29T163515.048.csv,"55 triggers: table, timing, events, function"
FN._export_profile_name,fn___export_profile_name,functions,1,5,440,Supabase Snippet Untitled query - 2026-08-29T163419.633.csv,Full CREATE definition (331 chars)
FN.delete_invoice_journal_entries_on_invoice_delete,fn__delete_invoice_journal_entries_on_invoice_delete,functions,1,5,443,Supabase Snippet Untitled query - 2026-08-29T163142.354.csv,Full CREATE definition (317 chars)
FN.delete_journal_entries_on_source_delete,fn__delete_journal_entries_on_source_delete,functions,1,5,681,Supabase Snippet Untitled query - 2026-08-29T163133.192.csv,Full CREATE definition (564 chars)
FN.enforce_journal_balanced,fn__enforce_journal_balanced,functions,1,5,903,Supabase Snippet Untitled query - 2026-08-29T163107.033.csv,Full CREATE definition (801 chars)
FN.enforce_period_lock,fn__enforce_period_lock,functions,1,5,1021,Supabase Snippet Untitled query - 2026-08-29T163116.082.csv,Full CREATE definition (924 chars)
FN.enforce_subledger_completeness,fn__enforce_subledger_completeness,functions,1,5,972,Supabase Snippet Untitled query - 2026-08-29T163124.697.csv,Full CREATE definition (864 chars)
FN.ensure_booking_receipt_number,fn__ensure_booking_receipt_number,functions,1,5,884,Supabase Snippet Untitled query - 2026-08-29T163405.112.csv,Full CREATE definition (777 chars)
FN.expense_sync_resolution,fn__expense_sync_resolution,functions,1,5,2344,Supabase Snippet Untitled query - 2026-08-29T163355.663.csv,Full CREATE definition (2239 chars)
FN.get_bed_occupancy_timeline,fn__get_bed_occupancy_timeline,functions,1,5,3181,Supabase Snippet Untitled query - 2026-08-29T162300.562.csv,Full CREATE definition (3040 chars)
FN.get_occupancy_intelligence,fn__get_occupancy_intelligence,functions,1,5,15365,Supabase Snippet Untitled query - 2026-08-29T162246.650.csv,Full CREATE definition (15227 chars)
FN.get_universal_metrics,fn__get_universal_metrics,functions,1,5,8057,Supabase Snippet Untitled query - 2026-08-29T162154.499.csv,Full CREATE definition (7921 chars)
FN.get_universal_metrics_series,fn__get_universal_metrics_series,functions,1,5,2491,Supabase Snippet Untitled query - 2026-08-29T162212.754.csv,Full CREATE definition (2229 chars)
FN.get_universal_metrics_v2,fn__get_universal_metrics_v2,functions,1,5,13832,Supabase Snippet Untitled query - 2026-08-29T162204.626.csv,Full CREATE definition (13468 chars)
FN.guard_deposit_transfer_before_onboarding,fn__guard_deposit_transfer_before_onboarding,functions,1,5,1398,Supabase Snippet Untitled query - 2026-08-29T163215.904.csv,Full CREATE definition (1280 chars)
FN.log_journal_entry_post,fn__log_journal_entry_post,functions,1,5,975,Supabase Snippet Untitled query - 2026-08-29T163411.911.csv,Full CREATE definition (875 chars)
FN.normalize_owner_payment_journal_dates,fn__normalize_owner_payment_journal_dates,functions,1,5,700,Supabase Snippet Untitled query - 2026-08-29T163222.832.csv,Full CREATE definition (585 chars)
FN.refresh_org_metrics,fn__refresh_org_metrics,functions,1,5,1512,Supabase Snippet Untitled query - 2026-08-29T163426.288.csv,Full CREATE definition (1393 chars)
FN.sync_tenant_staying_status,fn__sync_tenant_staying_status,functions,1,5,721,Supabase Snippet Untitled query - 2026-08-29T163154.976.csv,Full CREATE definition (617 chars)
FN.sync_tenant_staying_status_on_delete,fn__sync_tenant_staying_status_on_delete,functions,1,5,684,Supabase Snippet Untitled query - 2026-08-29T163201.000.csv,Full CREATE definition (570 chars)
FN.trg_adjustment_journal_post,fn__trg_adjustment_journal_post,functions,1,5,3000,Supabase Snippet Untitled query - 2026-08-29T162336.842.csv,Full CREATE definition (2893 chars)
FN.trg_expense_journal_post,fn__trg_expense_journal_post,functions,1,5,2549,Supabase Snippet Untitled query - 2026-08-29T162320.915.csv,Full CREATE definition (2447 chars)
FN.trg_invoice_journal_post,fn__trg_invoice_journal_post,functions,1,5,3963,Supabase Snippet Untitled query - 2026-08-29T162307.379.csv,Full CREATE definition (3861 chars)
FN.trg_receipt_journal_post,fn__trg_receipt_journal_post,functions,1,5,8343,Supabase Snippet Untitled query - 2026-08-29T162313.707.csv,Full CREATE definition (8231 chars)
FN.trg_settlement_journal_post,fn__trg_settlement_journal_post,functions,1,5,3986,Supabase Snippet Untitled query - 2026-08-29T162328.258.csv,Full CREATE definition (3875 chars)
FN.validate_deposit_settlement,fn__validate_deposit_settlement,functions,1,5,1705,Supabase Snippet Untitled query - 2026-08-29T163209.369.csv,Full CREATE definition (1598 chars)
M.000,schema_scope,metadata,15,6,893,Supabase Snippet Untitled query.csv,"Schema in/out-of-scope inventory: public=131 tables/54 views, market=17 tables"
M.001,object_presence_check,metadata,58,4,2678,Supabase Snippet Untitled query (1).csv,"58 expected objects, all PRESENT"
M.002,snapshot_start,metadata,1,5,206,Supabase Snippet Untitled query (2).csv,Snapshot START 2026-08-29 09:02:03.620Z txn 421016
M.003,object_inventory,metadata,148,10,9555,Supabase Snippet Untitled query (3).csv,"148 in-scope base tables: relkind, size, live/dropped cols"
M.004,column_inventory,metadata,1897,11,151798,Supabase Snippet Untitled query (4).csv,"1897 columns: type, nullable, default, enum/array"
M.005,dropped_columns,metadata,44,3,1187,Supabase Snippet Untitled query (5).csv,44 dropped-column slots
M.006,row_counts_exact,metadata,148,5,9651,Supabase Snippet Untitled query (6).csv,"148 exact counts, counted_at 2026-08-29 09:02:53.218Z"
M.007,organization_grain,metadata,122,5,4150,Supabase Snippet Untitled query (7).csv,122 tables with organization_id; null-org rows
